[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99826,0,0.00059,-0.15737,0.00078,23,206, 1 x 1,204.25,204.45,15,0,0.01, 0 x 1080,0.01,0,0,0.00048,-0.00499,0,10,204.2,0.932
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99862,0.00003,0.00093,-0.15678,0.00084,12,204.1, 1 x 1,199.25,199.45,20,0,0.01, 0 x 846,0.01,-0.00053,0,0.00025,-0.00473,0,0,199.2,0.909
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.998,0.00005,0.001,-0.13197,0.00096,0,235, 1 x 1,194.2,194.45,25,0,0.01, 0 x 275,0.01,0,0,0.00027,-0.0051,0,0,194.2,0.886
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99739,0.00003,0.00069,-0.1562,0.00119,0,223.61, 45 x 45,188.25,190.45,30,0,0.01, 0 x 168,0.01,-0.00034,0,0.00038,-0.00549,0,0,189.2,0.863
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99584,0.00009,0.00154,-0.32753,0.00167,13,189.05, 1 x 3,182.45,186.6,35,0,0.01, 0 x 190,0.01,0,0,-0.0002,-0.00485,0,0,184.2,0.84
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99736,0.00005,0.00157,-0.18003,0.00164,0,203.8, 45 x 25,178.3,180.45,40,0,0.01, 0 x 168,0.01,0,0.00001,0.00046,-0.00497,0,0,179.2,0.818
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99697,0.00004,0.00123,-0.17951,0.00191,0,247.71, 45 x 45,173.3,175.45,45,0,0.01, 0 x 235,0.01,-0.00001,-0.00002,0.00051,-0.0048,0,0,174.2,0.795
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99664,0.00004,0.00168,-0.17877,0.00268,11,169.5, 26 x 26,168.3,170.45,50,0,0.01, 0 x 208,0.01,-0.00029,-0.00003,0.00047,-0.00529,0,0,169.2,0.772
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99569,0.00013,0.00154,-0.20292,0.00242,0,197.6, 26 x 26,163.3,165.5,55,0,0.01, 0 x 195,0.01,-0.00015,0.00003,-0.00026,-0.00541,0,0,164.2,0.749
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99397,0.00009,0.00302,-0.32521,0.00259, ,0, 1 x 1,157.45,161.6,60,0,0.01, 0 x 195,0.01,-0.00034,0.00005,-0.00007,-0.00545,0,0,159.2,0.726
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.9953,0.00015,0.00202,-0.2262,0.00342,0,179, 26 x 26,153.35,155.5,65,0,0.01, 0 x 212,0.01,0,0.00002,0.00001,-0.0045,0,0,154.2,0.703
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.9949,0.00018,0.00283,-0.22614,0.00285,0,144.33, 45 x 45,148.35,150.5,70,0,0.01, 0 x 192,0.01,-0.00051,-0.00003,0.00055,-0.00529,0,1,149.2,0.681
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.98479,0.00026,0.00551,-0.77893,0.00295, ,0, 1 x 7,142.7,147.3,75,0,0.01, 0 x 125,0.01,-0.00024,0.00005,0.00021,-0.00513,0,0,144.2,0.658
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99427,0.00018,0.0021,-0.20017,0.00347,0,163.55, 45 x 45,138.3,140.5,80,0,0.01, 0 x 8174,0.01,-0.00024,0.00001,-0.00024,-0.00485,0,9,139.2,0.635
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.99457,0.00014,0.00212,-0.19954,0.00394,18,135.96, 45 x 45,133.3,135.5,85,0,0.01, 0 x 7186,0.01,0,0,-0.00014,-0.00466,0,0,134.2,0.612
